Date,IEMS,IQQE,Gold
6/13/2017,60.381295,35.06,1128.460744
6/14/2017,60.866394,35.07,1136.101324
6/15/2017,60.18432,34.71,1121.470276
6/16/2017,60.69699,34.63,1122.957
6/19/2017,60.53862,35.2,1110.946136
6/20/2017,60.031908,35.06,1112.4324
6/21/2017,60.455569,34.93,1115.454162
6/22/2017,60.280549,35.12,1116.976259
6/23/2017,60.4841,35.09,1124.298956
6/26/2017,60.633237,35.34,1114.067614
6/27/2017,59.666043,34.87,1105.182901
6/28/2017,59.145848,34.67,1097.1168
6/29/2017,58.679114,34.28,1090.167997
6/30/2017,59.097672,34.43,1087.225367
7/3/2017,59.469756,34.69,null
7/4/2017,59.392344,34.58,null
7/5/2017,59.511634,34.7,1077.247101
7/6/2017,58.942713,34.16,1073.458217
7/7/2017,58.904886,34.11,1059.096159
7/10/2017,59.331192,34.49,1064.466199
7/11/2017,59.034944,34.68,1064.084459
7/12/2017,59.583348,35.29,1063.888519
7/13/2017,59.596236,35.56,1065.357213
7/14/2017,60.1374,35.83,1074.501579
7/17/2017,59.960052,35.69,1075.494763
7/18/2017,59.49625,35.53,1074.047919
7/19/2017,59.968636,35.93,1076.244478
7/20/2017,60.409166,35.56,1083.847403
7/21/2017,59.58024,35.45,1077.443742
7/24/2017,59.433955,35.58,1076.473171
7/25/2017,59.420899,35.59,1070.328628
7/26/2017,59.540604,35.64,1072.6412
7/27/2017,59.574817,35.79,1077.083939
7/28/2017,59.230122,35.23,1081.43786
7/31/2017,59.168853,35.19,1080.0298
8/1/2017,58.948758,35.29,1077.38314
8/2/2017,58.907472,35.07,1075.179761
8/3/2017,58.3916,34.95,1069.009001
8/4/2017,58.22366,35.39,1060.243621
8/7/2017,59.355954,35.58,1066.576098
8/8/2017,59.37351,35.89,1063.54262
8/9/2017,58.85822,35.39,1085.1052
8/10/2017,58.099584,34.69,1094.225838
8/11/2017,57.6725,34.44,1094.544958
8/14/2017,57.779232,34.97,1088.616298
8/15/2017,58.148935,35.03,1084.555508
8/16/2017,58.7979,35.36,1090.47262
8/17/2017,58.996649,35.11,1099.743381
8/18/2017,58.808272,35.27,1095.159218
8/21/2017,58.730221,35.13,1097.567282
8/22/2017,59.031755,35.68,1091.69243
8/23/2017,58.994475,35.66,1092.34277
8/24/2017,59.08672,35.87,1089.6655
8/25/2017,59.613291,35.77,1094.61825
8/28/2017,null,35.37,1098.314379
8/29/2017,58.2909,35.18,1089.87298
8/30/2017,59.197168,35.6,1097.7575
8/31/2017,60.171555,35.7,1113.110299
9/1/2017,60.23302,35.97,1111.12305
9/4/2017,60.0264,35.6,null
9/5/2017,60.18196,35.34,1126.267159
9/6/2017,60.065412,35.61,1118.075
9/7/2017,60.457898,35.6,1123.69652
9/8/2017,59.611188,35.31,1116.1032
9/11/2017,60.37874,36.01,1109.3885
9/12/2017,60.78014,36.03,1112.864
9/13/2017,60.1056,36.04,1104.77434
9/14/2017,60.951016,35.64,1114.602539
9/15/2017,60.920392,35.79,1103.72238
9/18/2017,61.101,36.01,1093.373141
9/19/2017,60.80984,35.83,1091.068819
9/20/2017,60.719448,35.78,1092.6336
9/21/2017,61.1352,35.93,1084.10398
9/22/2017,60.057063,35.6,1081.328171
9/25/2017,59.132259,35.38,1101.240401
9/26/2017,59.574648,35.49,1100.3748
9/27/2017,59.474211,35.29,1093.0718
9/28/2017,59.37057,35.26,1091.3895
9/29/2017,60.00995,35.59,1085.4305
10/2/2017,60.482045,35.93,1083.704008
10/3/2017,60.883248,null,1081.7922
10/4/2017,60.889668,36.33,1080.607038
10/5/2017,61.638808,36.83,1081.44686
10/6/2017,61.54511,36.47,1086.200699
10/9/2017,61.207146,36.44,1091.324562
10/10/2017,61.509112,36.61,1094.0416
10/11/2017,61.326515,36.57,1086.886781
10/12/2017,61.52489,36.7,1090.898591
10/13/2017,62.198582,37.13,1101.98005
10/16/2017,62.159064,37.11,1101.2753
10/17/2017,61.900616,37.05,1091.0632
10/18/2017,62.147322,37.13,1089.32291
10/19/2017,61.42305,36.51,1087.43052
10/20/2017,61.823372,36.88,1080.9359
10/23/2017,62.155846,36.77,1088.344818
10/24/2017,61.893337,36.68,1084.1325
10/25/2017,61.915045,36.31,1082.17692
10/26/2017,62.36364,36.67,1077.368082
10/27/2017,62.912717,37.26,1093.06645
10/30/2017,62.936496,36.95,1097.254899
10/31/2017,63.098399,null,1088.7331
11/1/2017,63.668516,37.57,1097.254899
11/2/2017,63.500865,37.44,1094.756651
11/3/2017,63.192914,37.53,1086.53035
11/6/2017,63.821316,37.84,1103.866341
11/7/2017,63.414468,37.74,1101.623088
11/8/2017,63.562476,37.8,1105.764459
11/9/2017,62.997546,37.38,1105.358859
11/10/2017,62.864406,37.24,1091.846461
11/13/2017,62.729648,37.19,1095.795712
11/14/2017,62.220312,36.53,1091.0691
11/15/2017,61.976748,36.33,1078.1319
11/16/2017,62.871495,37.24,1085.15132
11/17/2017,62.762634,37.32,1098.579282
11/20/2017,62.862128,37.63,1081.88046
11/21/2017,64.115942,38.18,1093.29072
11/22/2017,63.74739,37.97,1099.28074
11/23/2017,63.48568,37.72,null
11/24/2017,63.73098,37.49,null
11/27/2017,62.652096,37.13,1082.522501
11/28/2017,62.930172,37.51,1089.101599
11/29/2017,63.00666,36.97,1084.01553
11/30/2017,62.92864,36.42,1074.580759
12/1/2017,62.17946,36.21,1075.982361
12/4/2017,62.417768,36.66,1073.980081
12/5/2017,62.4634,36.64,1064.91654
12/6/2017,61.315652,36.02,1068.581401
12/7/2017,61.46534,36.17,1060.455342
12/8/2017,61.970932,36.68,1060.412278
12/11/2017,62.263565,36.75,1054.284448
12/12/2017,61.966209,36.58,1052.60115
12/13/2017,62.663434,36.86,1061.20536
12/14/2017,62.209098,36.76,1058.458001
12/15/2017,62.75423,36.86,1062.392142
12/18/2017,63.406962,37.1,1070.093118
12/19/2017,62.96981,36.83,1066.300019
12/20/2017,63.112392,36.8,1068.8416
12/21/2017,63.214704,37.07,1068.587401
12/22/2017,63.454677,37.2,1076.055
12/26/2017,null,null,1083.39515
12/27/2017,64.036119,37.09,1081.9809
12/28/2017,64.417752,37.31,1084.32637
12/29/2017,64.736232,37.48,1089.192981
1/2/2018,64.944768,37.84,1088.794519
1/3/2018,65.496375,38.36,1094.683499
1/4/2018,65.980768,38.36,1093.51874
1/5/2018,66.45751,38.74,1096.113101
1/8/2018,67.083264,39.13,1101.2947
1/9/2018,66.947428,39.15,1099.335729
1/10/2018,66.553559,38.85,1098.57988
1/11/2018,66.218154,38.68,1099.0033
1/12/2018,65.928478,38.72,1098.58828
1/15/2018,65.054115,38.28,null
1/16/2018,65.187044,38.48,1091.9566
1/17/2018,65.44527,38.83,1096.491
1/18/2018,65.408519,38.91,1083.7398
1/19/2018,65.53296,39.22,1086.83042
1/22/2018,66.111561,39.31,1087.47841
1/23/2018,66.079416,39.46,1090.46544
1/24/2018,66.460064,39.46,1097.736659
1/25/2018,66.46276,39.51,1098.094419
1/26/2018,66.322168,39.75,1086.821541
1/29/2018,66.094196,39.52,null
1/30/2018,65.172845,38.89,1075.130559
1/31/2018,65.243556,39.06,1074.9492
2/1/2018,64.978496,38.57,1078.935219
2/2/2018,63.423615,37.8,1067.626811
2/5/2018,62.768512,37.39,1071.5987
2/6/2018,62.154593,37.31,1075.599691
2/7/2018,62.44092,36.99,1063.051781
2/8/2018,61.280296,36.15,1074.8538
2/9/2018,60.66186,35.3,1069.91386
2/12/2018,62.084015,36.73,1079.88506
2/13/2018,61.799176,36.6,1076.823461
2/14/2018,62.565148,37.3,1097.6839
2/15/2018,62.91144,37.79,1082.220821
2/16/2018,63.502045,38.01,1085.672321
2/19/2018,62.626776,37.83,null
2/20/2018,62.68444,37.86,1076.85956
2/21/2018,63.237892,38.26,1080.226
2/22/2018,63.343296,37.8,1083.90674
2/23/2018,63.958446,38.38,1079.95938
2/26/2018,64.343459,38.74,1080.12915
2/27/2018,63.544393,38.15,1069.36995
2/28/2018,63.735795,37.89,1076.99985
3/1/2018,63.986208,37.44,1070.46266
3/2/2018,null,37.06,1072.997401
3/5/2018,null,37.22,1070.956231
3/6/2018,62.619004,37.42,1074.481501
3/7/2018,62.072524,37.15,1067.8278
3/8/2018,62.322791,37.56,1062.651509
3/9/2018,63.8676,38.39,1075.90466
3/12/2018,64.072778,38.45,1072.54028
3/13/2018,63.484782,37.98,1071.194629
3/14/2018,63.329805,38.06,1070.777419
3/15/2018,63.624756,38.06,1067.00308
3/16/2018,63.625683,38.11,1065.95581
3/19/2018,62.63604,37.33,1069.76836
3/20/2018,63.441048,38.28,1068.02204
3/21/2018,63.606285,38.01,1074.91769
3/22/2018,62.55648,37.29,1077.199181
3/23/2018,61.3818,36.46,1092.93304
3/26/2018,61.482967,36.72,1091.240099
3/27/2018,62.40992,36.97,1083.77044
3/28/2018,61.495184,36.66,1068.09968
3/29/2018,62.77726,37.34,1073.58452
4/2/2018,null,null,1089.248341
4/3/2018,63.090625,36.92,1082.90004
4/4/2018,62.830098,36.64,1088.14272
4/5/2018,63.730641,37.24,1080.23155
4/6/2018,63.356674,36.54,1088.69508
4/9/2018,63.211806,36.77,1086.01105
4/10/2018,63.03728,36.81,1085.678
4/11/2018,63.09805,37,1095.37375
4/12/2018,63.499875,37.01,1086.111619
4/13/2018,63.458104,36.82,1091.84316
4/16/2018,63.119872,36.59,1089.319
4/17/2018,63.424841,36.76,1090.28892
4/18/2018,63.397488,37.01,1090.6886
4/19/2018,63.105864,36.82,1087.67572
4/20/2018,62.814768,36.67,1085.93504
4/23/2018,63.104633,36.64,1080.61475
4/24/2018,62.990284,36.35,1090.15034
4/25/2018,62.266509,36.15,1084.3088
4/26/2018,62.719776,36.84,1081.73538
4/27/2018,63.57909,37.13,1093.868591
4/30/2018,63.715184,37.09,1089.681939
5/1/2018,62.489892,null,1079.416061
5/2/2018,63.517656,37.06,1084.80526
5/3/2018,62.45911,36.74,1092.992689
5/4/2018,63.155445,37.02,1096.760809
5/7/2018,null,36.98,1102.510399
5/8/2018,62.8168,37.16,1105.36
5/9/2018,62.991894,37.17,1103.852381
5/10/2018,63.917048,37.83,1111.981561
5/11/2018,63.59661,37.71,1105.1901
5/14/2018,63.457594,37.77,1098.2243
5/15/2018,62.969445,37.32,1084.60937
5/16/2018,63.72986,37.93,1094.863678
5/17/2018,null,37.44,1091.234178
5/18/2018,63.261064,37.11,1095.121718
5/21/2018,63.703464,null,1097.186038
5/22/2018,63.93166,37.55,1095.232388
5/23/2018,64.074582,37.55,1101.191172
5/24/2018,63.415299,37.39,1111.664948
5/25/2018,64.383105,37.75,1116.276492
5/28/2018,null,37.88,null
5/29/2018,64.379532,37.35,1123.635198
5/30/2018,64.176605,37.18,1118.89955
5/31/2018,64.332248,37.19,1111.325459
6/1/2018,64.69493,37.69,1109.643642
6/4/2018,64.4538,37.99,1101.72118
6/5/2018,64.143285,37.66,1111.30875
6/6/2018,64.0475,37.89,1102.53498
6/7/2018,63.756154,37.24,1097.271589
6/8/2018,63.750444,37.45,1104.42346
6/11/2018,63.95428,37.35,1101.727
6/12/2018,63.87699,37.36,1098.63331
6/13/2018,63.876514,37.28,1102.49471
6/14/2018,63.809625,37.36,1111.66
6/15/2018,63.222544,36.69,1099.215019
6/18/2018,62.309196,36.39,1098.935778
6/19/2018,62.05119,36.15,1105.945179
6/20/2018,62.350503,36.35,1097.935398
6/21/2018,61.683039,35.81,1098.282198
6/22/2018,61.2969,35.95,1088.062921
6/25/2018,60.316179,35.24,1081.708299
6/26/2018,60.481512,35.46,1076.654859
6/27/2018,60.047775,34.94,1078.535562
6/28/2018,59.369141,34.97,1077.225782
6/29/2018,60.166092,35.37,1073.365182
7/2/2018,59.301984,34.98,1065.236202
7/3/2018,59.513766,35,null
7/4/2018,59.53729,34.98,null
7/5/2018,58.78082,34.86,1073.734242
7/6/2018,59.5394,35.2,1069.917942
7/9/2018,59.662388,35.67,1067.1204
7/10/2018,60.124596,35.43,1070.494482
7/11/2018,59.108592,35.21,1059.114202
7/12/2018,59.642834,35.68,1067.961
7/13/2018,59.624838,35.67,1064.692419
7/16/2018,58.896396,35.4,1056.3469
7/17/2018,59.358358,35.85,1046.992898
7/18/2018,59.34357,35.77,1056.212232
7/19/2018,58.83071,35.38,1054.931221
7/20/2018,58.946151,35.65,1053.55855
7/23/2018,58.22577,35.4,1044.684
7/24/2018,59.442194,36.04,1045.577791
7/25/2018,59.66415,36.38,1053.339581
7/26/2018,59.81328,36.31,1045.793592
7/27/2018,60.661304,36.36,1051.680499
7/30/2018,60.101298,36.21,1045.310712
7/31/2018,60.013403,36.45,1042.714728
8/1/2018,60.2946,36.17,1041.304521
8/2/2018,59.69648,35.94,1042.084459
8/3/2018,60.53082,36.17,1047.854558
8/6/2018,60.372447,36.12,1047.010159
8/7/2018,60.617427,36.35,1042.554219
8/8/2018,60.333968,36.24,1046.352519
8/9/2018,60.330244,36.37,1045.384961
8/10/2018,59.697631,35.97,1057.169169
8/13/2018,58.78531,35.45,1044.770143
